author,year,RR,ci.lb,ci.ub,disease,endpoint,exposure
"Ibfelt et al.,",2010,1.11,0.65,1.85,hd,incidence,workplace
"Ibfelt et al.,",2010,1.43,0.85,2.41,hd,incidence,workplace
"Ibfelt et al.,",2010,1.03,0.61,1.74,hd,incidence,workplace
"Ibfelt et al.,",2010,1.23,0.73,2.08,hd,incidence,workplace
"Ibfelt et al.,",2010,1.41,0.84,2.36,hd,incidence,workplace
"Ibfelt et al.,",2010,1.21,0.72,2.03,hd,incidence,workplace
"Ibfelt et al.,",2010,2.51,1.15,5.49,hd,incidence,workplace
"Ibfelt et al.,",2010,2.79,1.29,6.04,hd,incidence,workplace
"Ibfelt et al.,",2010,1.7,0.78,3.72,hd,incidence,workplace
"Wilbert et al.,",2012,1.21,1.11,1.31,hd,incidence,workplace
"Wilbert et al.,",2012,1.23,1.17,1.31,hd,incidence,workplace
"Costello et al.,",2014,1.58,0.88,2.63,hd,incidence,workplace
"Costello et al.,",2014,1.78,1.02,3.11,hd,incidence,workplace
"Costello et al.,",2014,1.48,0.83,2.66,hd,incidence,workplace
"Costello et al.,",2014,1.48,0.77,2.85,hd,incidence,workplace
"Ibfelt et al.,",2010,1.32,0.58,3.01,cd,incidence,workplace
"Ibfelt et al.,",2010,1.17,0.52,2.67,cd,incidence,workplace
"Ibfelt et al., ",2010,1.54,0.7,3.39,cd,incidence,workplace
"Sjogren et al.,",1987,0.49,0.23,1.05,hd,death,workplace
"Randem et al.,",2003,0.86,0.75,0.98,hd,death,workplace
"Finkelstein et al.,",2004,1.09,0.96,1.2,hd,death,workplace
"Finkelstein et al.,",2004,0.87,0.7,1.1,hd,death,workplace
"Finkelstein et al.,",2004,0.86,0.8,0.96,hd,death,workplace
"Finkelstein et al.,",2004,0.72,0.5,1,hd,death,workplace
"Finkelstein et al.,",2004,0.84,0.6,1.1,hd,death,workplace
"Finkelstein et al.,",2004,0.89,0.8,0.95,hd,death,workplace
"Finkelstein et al.,",2004,0.84,0.7,1.03,hd,death,workplace
"Landen et al.,",2007,1.41,1.33,1.49,hd,death,workplace
"Toren et al.,",2007,1.18,1.13,1.24,hd,death,workplace
"Toren et al.,",2007,1.12,0.96,1.3,hd,death,workplace
"Toren et al.,",2007,1.01,0.95,1.08,hd,death,workplace
"Costello et al.,",2013,1.42,1.04,1.94,hd,death,workplace
"Costello et al.,",2013,1.13,0.83,1.55,hd,death,workplace
"Costello et al.,",2013,0.88,0.64,1.21,hd,death,workplace
"Costello et al.,",2013,1.29,0.97,1.72,hd,death,workplace
"Costello et al.,",2013,1.53,1.15,2.05,hd,death,workplace
"Randem et al.,",2003,1.14,0.89,1.43,cd,death,workplace
"Finkelstein et al.,",2004,0.86,0.6,1.2,cd,death,workplace
"Finkelstein et al.,",2004,0.79,0.4,1.5,cd,death,workplace
"Finkelstein et al.,",2004,0.94,0.7,1.2,cd,death,workplace
"Finkelstein et al.,",2004,0.62,0.2,1.4,cd,death,workplace
"Finkelstein et al.,",2004,0.57,0.2,1.3,cd,death,workplace
"Finkelstein et al.,",2004,1.08,0.93,1.2,cd,death,workplace
"Finkelstein et al.,",2004,1.04,0.7,1.6,cd,death,workplace
"Landen et al., ",2007,1.41,1.33,1.49,cd,death,workplace
"Toren et al.,",2007,1.09,0.99,1.2,cd,death,workplace
"Toren et al.,",2007,1.18,0.86,1.58,cd,death,workplace
"Toren et al.,",2007,0.92,0.8,1.05,cd,death,workplace
"Steeland et al.,",1998,1.27,0.83,1.93,lc,death,workplace
"Steeland et al.,",1998,1.31,0.81,2.11,lc,death,workplace
"Steeland et al.,",1998,1.69,0.92,3.09,lc,death,workplace
"Steeland et al.,",1998,0.92,0.55,1.55,lc,death,workplace
"Steeland et al.,",1998,1.44,0.88,2.39,lc,death,workplace
"Garshick et al.,",2012,1.17,0.88,1.57,lc,death,workplace
"Garshick et al.,",2012,1.26,0.9,1.78,lc,death,workplace
"Garshick et al.,",2012,1.41,0.95,2.11,lc,death,workplace
"Silverman et al.,",2012,0.74,0.4,1.38,lc,death,workplace
"Silverman et al.,",2012,1.54,0.4,1.38,lc,death,workplace
"Silverman et al.,",2012,2.83,1.28,6.26,lc,death,workplace
"Mohner et al.,",2013,1.04,0.7,1.53,lc,death,workplace
"Puett et al., ",2011,0.9,0.76,1.06,all,death,env
"Hart et al., ",2011,1.1,1.03,1.17,all,death,env
"Weichenth et al.,",2014,0.95,0.76,1.2,all,death,env
"Hart et al.,",2015,1.12,1.05,1.21,all,death,env
"Ostro et al.,",2015,1.01,0.98,1.05,all,death,env
"Puett et al., ",2011,1.05,0.85,1.3,cvd,death,env
"Hart et al.,",2011,1.05,0.92,1.18,cvd,death,env
"Lipsett et al.,",2011,1.07,0.95,1.19,cvd,death,env
"Weichenth et al.,",2014,1.31,0.84,2.04,cvd,death,env
"Ostro et al.,",2015,1.05,0.99,1.12,cvd,death,env
"Puett et al., ",2009,2.02,1.07,3.78,hd,death,env
"Puett et al., ",2011,1.02,0.74,1.41,hd,death,env
"Hart et al.,",2011,1.02,0.87,1.18,hd,death,env
"Ostro et al.,",2015,1.18,1.08,1.3,hd,death,env
"Lipsett et al.,",2011,1.16,0.92,1.46,cd,death,env
"Hart et al.,",2011,1.08,0.91,1.47,rd,death,env
"Ostro et al.,",2015,0.99,0.9,1.09,rd,death,env
"Ostro et al.,",2011,1.2,1.02,1.41,lc,death,env
